"","Plant Number","State","Plant Name","FIPS State Code","FIPS County Code","Latitude","Longitude","Centroid","Generators","Combustion Status","Capacity Factor","Nameplate Capacity","Annual Heat Input","Annual Net Generation","Annual NOx Emissions","Annual SO2 Emissions","Annual CO2 Emissions","Annual CH4 Emissions","Annual N20 Emissions","Annual Hg Emissions","Annual NOx Output Emission Rate","Ozone Season NOx Output Emission Rate","Annual SO2 Output Emission Rate","Annual CO2 Output Emission Rate","Annual CH4 Output Emission Rate","Annual N2O Output Emission Rate","Annual CO2 Equivalent Emission Rate","Annual Hg Output Emission Rate","Annual NOx Output Emission Rate","Ozone Season NOx Input Emission Rate","Annual SO2 Input Emission Rate","Annual CO2 Input Emission Rate","Annual NOx Combustion Output Emission Rate","Ozone Season NOx Combustion Output Emission Rate","Annual SO2 Combustion Output Emission Rate","Annual CO2 Combustion Output Emission Rate","Annual CH4 Combustion Output Emission Rate","Annual N2O Combustion Output Emission Rate","Unadjusted Annual NOx Emissions","Unadjusted Ozone Season NOx Emissions","Unadjusted Annual SO2 Emissions","Unadjusted Annual CO2 Emissions","Unadjusted Annual CH4 Emissions","Unadjusted Annual N2O Emissions","Unadjusted Annual Heat Input","Nomial Heat Rate","Annual Coal Net Generation","Annual Oil Net Generation","Annual Gas Net Generation","Annual Nuclear Net Generation","Annual Hydro Net Generation","Annual Biomass Net Generation","Annual Wind Net Generation","Annual Solar Net Generation","Annual Geothermal Net Generation","Annual Other Fossil Net Generation","Annual Unknown Net Generation","Plant Annual Nonrenewable Net Generation","NewFIPS","Height","Diameter","Velocity"
"3078",3078,"LA","Domino Sugar Arabi Plant",22,87,29.9468,-90.0018,0,3,1,0.3529,"14","249,404.40","43,273.60","23.33","0.43","14,576.20","580.1","58.1",-99,"1.0782","1.0644","0.0199","673.67","13.41","1.34","674.37",-99,0.1871,0.1877,0.0034,116.89,"1.0782","1.0644","0.0199","673.67","13.41","1.34","204.86","90.71","3.77","127,996.10","5,094.10","510.3","2,190,065.30","5,763.43","0","0","43,273.60","0","0","0","0","0","0","0","0","43,273.60",22087,9.7536,0.6096,8.9
"3097",3097,"LA","Little Gypsy",22,89,30.0051,-90.4617,0,3,1,0.1723,"1,250.60","22,356,096.30","1,887,221.00","3,715.33","9","1,328,818.10","52,000.30","5,209.00",-99,"3.9374","4.2763","0.0095","1,408.23","27.55","2.76","1,409.66",-99,0.3324,0.3652,8e-04,118.88,"3.9374","4.2763","0.0095","1,408.23","27.55","2.76","3,715.33","2,031.82","9","1,328,818.10","52,000.30","5,209.00","22,356,096.30","11,846.04","0","291.3","1,886,929.70","0","0","0","0","0","0","0","0","1,887,221.00",22089,9.7536,0.762,7.59
"3102",3102,"LA","Louisiana Tech University Power Plant",22,61,32.5256,-92.6497,0,3,1,0.6852,"7.5","258,562.80","45,015.30","35.68","0.44","15,111.40","601.4","60.2",-99,"1.5853","1.5853","0.0196","671.39","13.36","1.34","672.09",-99,0.276,0.276,0.0034,116.89,"1.5853","1.5853","0.0196","671.39","13.36","1.34","88.97","44.15","1.1","37,677.40","1,499.50","150.2","644,676.00","5,743.88","0","0","45,015.30","0","0","0","0","0","0","0","0","45,015.30",22061,33.833,2.4079,18.9
"3164",3164,"MA","Berkshire Wind Power Project",25,3,42.5867,-73.275,0,1,0,0.3625,"15","0","47,634.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","47,634.00","0","0","0","0","0",25003,9.144,0.6096,8.809
"3176",3176,"MA","Cherry Street",25,17,42.3903,-71.56,0,6,1,0.0016,"17.3","2,767.00","239","0.78","0.06","179","9.9","1.5",-99,"6.536","6.4414","0.5437","1,498.10","41.53","6.35","1,500.94",-99,0.5645,0.558,0.047,129.4,"6.536","6.4414","0.5437","1,498.10","41.53","6.35","0.78","0.4","0.06","179","9.9","1.5","2,767.00","11,577.41","0","64.9","174.1","0","0","0","0","0","0","0","0","239",25017,9.144,0.6096,8.809
"3195",3195,"MA","Dorchester Solar Site",25,25,42.3008,-71.0472,0,1,0,0.1812,"1","0","1,587.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","0","1,587.00","0","0","0","0",25025,12.192,0.6096,10.0584
"3229",3229,"MA","Kraft Foods Atlantic Gelatin",25,17,42.4769,-71.115,0,3,1,0,"1.7","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","0","0","0","0","0","0",25017,9.906,0.2591,3.9624
"3230",3230,"MA","Lawrence Hydroelectric Associates",25,9,42.6994,-71.1653,0,2,0,0.6027,"14.8","0","78,134.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","78,134.00","0","0","0","0","0","0","0",25009,9.906,0.2591,3.9624
"3234",3234,"MA","M Street Jet",25,25,42.3394,-71.0314,0,1,1,0.0011,"69","11,068.30","648","0.97","0.41","896.8","77.2","15.5",-99,"2.9938","0","1.2582","2,767.90","119.19","23.84","2,777.80",-99,0.1753,0,0.0737,162.05,"2.9938","0","1.2582","2,767.90","119.19","23.84","0.97","0","0.41","896.8","77.2","15.5","11,068.30","17,080.71","0","648","0","0","0","0","0","0","0","0","0","648",25025,9.906,0.2591,3.9624
"3245",3245,"MA","Milford Power LP",25,27,42.1294,-71.5115,0,2,1,0.2523,"178","3,219,176.50","393,347.00","45.1","0.97","191,311.70","7,487.80","750.1",-99,"0.2293","0.2147","0.0049","972.74","19.04","1.91","973.73",-99,0.028,0.0265,6e-04,118.86,"0.2293","0.2147","0.0049","972.74","19.04","1.91","45.1","32.42","0.97","191,311.70","7,487.80","750.1","3,219,176.50","8,184.06","0","0","393,347.00","0","0","0","0","0","0","0","0","393,347.00",25027,17.7434,1.0374,8.4156
"3250",3250,"MA","Mt Wachusett Community College",25,27,42.5858,-71.9842,0,2,0,0.1547,"3.4","0","4,607.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","4,607.00","0","0","0","0","0",25027,9.144,0.6096,8.809
"3274",3274,"MA","Princeton Wind Farm",25,27,42.4789,-71.9,0,2,0,0.1518,"3","0","3,988.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","3,988.00","0","0","0","0","0",25027,57.912,7.62,15.7
"3283",3283,"MA","SEMASS Resource Recovery",25,23,41.8022,-70.7875,0,2,1,0.6961,"98.5","10,919,738.40","600,665.00","3,998.44","1,616.02","768,336.20","758,085.10","101,106.90",-99,"13.3134","0.0185","5.3808","2,558.29","1,262.08","168.32","2,636.97",-99,0.7323,0.001,0.296,140.72,"13.3134","0.0185","5.3808","2,558.29","1,262.08","168.32","3,998.44","2.3","1,616.02","1,359,927.00","758,085.10","101,106.90","10,919,738.40","18,179.42","0","3,390.00","0","0","0","314,763.90","0","0","0","282,511.10","0","285,901.10",25023,9.7536,0.5486,5.913
"3284",3284,"MA","Sherman",25,11,42.7297,-72.9303,0,1,0,0.3541,"7.2","0","22,332.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","22,332.00","0","0","0","0","0","0","0",25011,9.4793,0.6096,9.235
"3290",3290,"MA","Southbridge Energy Center LLC",25,27,42.0736,-72.0219,0,7,1,0,"6.5","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","0","0","0","0","0","0",25027,12.192,0.6096,10.0584
"3321",3321,"MD","Conowingo",24,25,39.6572,-76.1752,0,11,0,0.3525,"530.8","0","1,639,132.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","1,639,132.00","0","0","0","0","0","0","0",24025,213.34959,9.75312,10.97226
"3335",3335,"MD","Goddard Steam Plant",24,17,38.5868,-77.1731,0,2,1,0.2357,"12.4","1,376,991.00","25,600.00","249.31","1,317.73","124,390.20","7,193.20","3,009.00",-99,"19.4775","15.934","102.948","9,717.98","280.98","117.54","9,760.32",-99,0.3621,0.3358,1.9139,180.67,"19.4775","15.934","102.948","9,717.98","280.98","117.54","249.31","93.9","1,317.73","124,390.20","7,193.20","3,009.00","1,376,991.00","53,788.71","9,849.60","15,750.40","0","0","0","0","0","0","0","0","0","25,600.00",24017,7.62,0.1777,3.048
"3352",3352,"MD","Mount Saint Mary's",24,21,39.675,-77.345,0,1,0,0.0969,"13.7","0","11,632.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","0","11,632.00","0","0","0","0",24021,11.887,0.9101,8.443
"3371",3371,"MD","Westport",24,510,39.2719,-76.6186,0,1,1,0.0087,"121.5","156,008.20","9,253.00","16.85","0.05","9,270.70","362.9","36.3",-99,"3.6418","5.9166","0.0102","2,003.83","39.22","3.93","2,005.87",-99,0.216,0.216,6e-04,118.85,"3.6418","5.9166","0.0102","2,003.83","39.22","3.93","16.85","16.47","0.05","9,270.70","362.9","36.3","156,008.20","16,860.29","0","0","9,253.00","0","0","0","0","0","0","0","0","9,253.00",24510,9.4336,0.6096,9.144
"3411",3411,"ME","Great Lakes Hydro America - ME",23,19,45.6472,-68.7044,0,31,0,0.6019,"138","0","727,625.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","727,625.00","0","0","0","0","0","0","0",23019,64.618,3.871,21.34
"3488",3488,"MI","Ada Cogeneration LP",26,81,42.9627,-85.4941,0,2,1,0.5428,"33.1","913,703.40","157,385.00","45.8","1.58","53,400.40","2,125.30","212.9",-99,"0.582","0.5565","0.0201","678.6","13.5","1.35","679.3",-99,0.1003,0.0982,0.0035,116.89,"0.582","0.5565","0.0201","678.6","13.5","1.35","84","34.45","2.9","97,943.60","3,898.00","390.5","1,675,855.00","5,805.53","0","0","157,385.00","0","0","0","0","0","0","0","0","157,385.00",26081,9.144,0.6096,8.809
"3509",3509,"MI","Caro",26,157,43.4878,-83.3881,0,6,1,0,"9.4","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","0","0","0","0","0","0",26157,11.3074,0.4644,7.8421
"2327",2327,"IA","Rock Rapids",19,119,43.4294,-96.1692,0,1,1,5e-04,"2.5","297","11","0.36","0.03","24.2","2.1","0.4",-99,"65.826","66.3603","5.8068","4,402.21","188.41","37.69","4,417.85",-99,2.438,2.438,0.2151,163.04,"65.826","66.3603","5.8068","4,402.21","188.41","37.69","0.36","0.16","0.03","24.2","2.1","0.4","297","27,000.00","0","11","0","0","0","0","0","0","0","0","0","11",19119,9.144,0.6096,6.675
"3530",3530,"MI","Decorative Panels Intl",26,7,45.0628,-83.4233,0,1,1,0.5808,"7.5","216,919.00","38,159.00","47.24","41.95","11,847.00","5,257.90","931",-99,"2.476","2.4232","2.1987","620.93","137.79","24.4","631.39",-99,0.4356,0.4263,0.3868,109.23,"2.476","2.4232","2.1987","620.93","137.79","24.4","401.53","184.81","356.57","162,776.40","44,691.00","7,913.20","1,843,765.00","5,684.61","13,032.80","0","12,729.90","0","0","12,396.30","0","0","0","0","0","25,762.70",26007,9.7536,0.6401,7.711
"3546",3546,"MI","Escanaba Paper Company",26,41,45.8044,-87.0891,0,3,1,0.6168,"103.3","4,329,234.20","558,108.00","496.53","888.1","81,844.70","120,232.90","23,716.50",-99,"1.7793","1.7074","3.1825","293.29","215.43","42.49","310.99",-99,0.2294,0.2065,0.4103,37.81,"1.7793","1.7074","3.1825","293.29","215.43","42.49","1,942.92","730.63","3,475.15","1,598,464.70","470,472.80","92,802.90","16,940,340.10","7,756.98","35,413.80","2,852.70","90,941.90","0","0","403,597.10","0","0","0","25,302.50","0","154,510.90",26041,50.292,2.1336,11.491
"3592",3592,"MI","Jackson County Resource Recovery",26,75,42.2947,-84.384,0,1,1,0.4638,"3.7","85,258.60","15,033.10","39.42","112.35","8,328.70","5,949.30","793.2",-99,"5.2443","5.2636","14.9465","1,108.04","395.75","52.77","1,132.71",-99,0.9247,0.9281,2.6354,195.37,"5.2443","5.2636","14.9465","1,108.04","395.75","52.77","234.71","104.12","668.93","77,250.70","35,424.00","4,723.20","507,652.00","5,671.41","0","0","0","0","0","7,922.40","0","0","0","7,110.60","0","7,110.60",26075,12.619,0.7925,6.888
"3614",3614,"MI","McClure",26,103,46.5717,-87.4764,0,2,0,0.3392,"8","0","23,774.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","23,774.00","0","0","0","0","0","0","0",26103,11.3074,0.4644,7.8421
"3631",3631,"MI","MSC Sebewaing",26,63,43.7411,-83.4472,0,2,1,0,"2.5","783,576.00","0","316.89","410.51","80,569.30","1,822.60","2,733.90",-99,"0","0","0","0","0","0","0",-99,0.8088,0.8088,1.0478,205.65,"0","0","0","0","0","0","316.89","143.81","410.51","80,569.30","1,822.60","2,733.90","783,576.00","-99","0","0","0","0","0","0","0","0","0","0","0","0",26063,9.4488,0.9144,10.36
"3686",3686,"MI","The Andersons Albion Ethanol LLC",26,25,42.2561,-84.7883,0,1,1,3e-04,"2","1,835,046.00","4.9","174.33","3.21","107,247.30","4,268.30","427.6",-99,"71,888.40","71,877.50","1,324.26","44,225,702.82","880,065.36","88,157.88","44,271,513.13",-99,0.19,0.19,0.0035,116.89,"71,888.40","71,877.50","1,324.26","44,225,702.82","880,065.36","88,157.88","174.33","90.49","3.21","107,247.30","4,268.30","427.6","1,835,046.00","378,360,000.00","0","0","4.9","0","0","0","0","0","0","0","0","4.9",26025,9.6012,0.762,9.632
"3708",3708,"MI","White Rapids",26,109,45.4821,-87.8022,0,3,0,0.3904,"7.2","0","24,623.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","24,623.00","0","0","0","0","0","0","0",26109,33.5375,1.396,9.6357
"3712",3712,"MI","Zeeland",26,139,42.8067,-86.0558,0,7,1,0.0016,"22.3","8,799.00","307","3.14","0.09","532.6","24.2","3",-99,"20.4381","19.559","0.5947","3,469.53","78.7","9.69","3,474.18",-99,0.7131,0.6819,0.0207,121.05,"20.4381","19.559","0.5947","3,469.53","78.7","9.69","3.14","1.53","0.09","532.6","24.2","3","8,799.00","28,661.24","0","27.7","279.3","0","0","0","0","0","0","0","0","307",26139,9.7536,0.6401,7.711
"3809",3809,"MN","High Bridge",27,123,44.9314,-93.1117,0,5,1,0.3285,"644","13,546,293.90","1,853,376.00","89.82","4.06","805,035.00","31,508.70","3,156.30",-99,"0.0969","0.0983","0.0044","868.72","17","1.7","869.61",-99,0.0133,0.0133,6e-04,118.86,"0.0969","0.0983","0.0044","868.72","17","1.7","89.82","40.48","4.06","805,035.00","31,508.70","3,156.30","13,546,293.90","7,308.98","0","0","1,853,376.00","0","0","0","0","0","0","0","0","1,853,376.00",27123,10.973,0.5791,7.163
"3945",3945,"MN","Taconite Ridge 1 Wind Energy Center",27,137,47.5747,-92.5917,0,1,0,0.2849,"25","0","62,387.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","62,387.00","0","0","0","0","0",27137,14.478,1.1643,13.0443
"3962",3962,"MN","United Hospital",27,123,44.9425,-93.1072,0,3,1,-0.0042,"4.8","595","-177","0.73","0.05","48.5","4.2","0.8",-99,"-8.1955","-8.1364","-0.6186","-548.09","-23.46","-4.69","-550.04",-99,2.438,2.438,0.184,163.04,"-8.1955","-8.1364","-0.6186","-548.09","-23.46","-4.69","0.73","0.55","0.05","48.5","4.2","0.8","595","-3,361.58","0","-177","0","0","0","0","0","0","0","0","0","-177",27123,10.2135,0.781,10.3177
"3996",3996,"MO","Audrain Generating Station",29,7,39.3092,-91.5369,0,8,1,0.0096,"814.4","809,764.30","68,649.00","11.05","0.24","48,123.40","1,883.50","188.7",-99,"0.322","0.3212","0.0071","1,402.01","27.44","2.75","1,403.44",-99,0.0273,0.0272,6e-04,118.86,"0.322","0.3212","0.0071","1,402.01","27.44","2.75","11.05","10.93","0.24","48,123.40","1,883.50","188.7","809,764.30","11,795.72","0","0","68,649.00","0","0","0","0","0","0","0","0","68,649.00",29007,8.4734,0.762,15.91
"6914",4008,"MO","Columbia",29,19,38.9646,-92.3168,0,15,1,0.0504,"100.6","893,909.60","44,385.00","187.28","351.07","58,341.70","1,634.90","2,196.50",-99,"8.4387","8.7985","15.8193","2,628.89","36.84","49.49","2,644.31",-99,0.419,0.4217,0.7855,130.53,"8.4387","8.7985","15.8193","2,628.89","36.84","49.49","317.52","134.37","351.91","67,727.30","2,082.40","2,241.30","893,909.60","20,139.90","39,017.30","0","5,367.70","0","0","0","0","0","0","0","0","44,385.00",29019,15.24,0.6096,15.24
"4028",4028,"MO","Higginsville",29,107,39.0733,-93.7147,0,6,1,0.008,"51.6","51,797.90","3,629.00","18.84","0.11","3,045.70","124.2","13",-99,"10.3808","13.9156","0.0625","1,678.54","34.22","3.58","1,680.37",-99,0.7273,0.7131,0.0044,117.6,"10.3808","13.9156","0.0625","1,678.54","34.22","3.58","18.84","16.77","0.11","3,045.70","124.2","13","51,797.90","14,273.33","0","97.4","3,531.60","0","0","0","0","0","0","0","0","3,629.00",29107,11.613,0.4572,7.01
"5777",5777,"PA","Eddystone Generating Station",42,45,39.858,-75.323,0,8,1,0.0041,"1,215.20","1,231,573.80","43,396.00","99.7","126.07","99,695.10","2,959.90","310.8",-99,"4.595","3.1934","5.8102","4,594.67","68.21","7.16","4,598.32",-99,0.1619,0.1633,0.2047,161.9,"4.595","3.1934","5.8102","4,594.67","68.21","7.16","99.7","96.42","126.07","99,695.10","2,959.90","310.8","1,231,573.80","28,379.89","0","25,154.80","18,241.20","0","0","0","0","0","0","0","0","43,396.00",42045,10.0391,0.6525,8.8489
"4062",4062,"MO","Moreau",29,51,38.5557,-92.1023,0,1,1,0.0011,"60.8","22,194.80","594","13.32","5.55","1,809.40","154.9","31",-99,"44.8384","28.8247","18.6835","6,092.17","260.73","52.16","6,113.81",-99,1.2,1.2,0.5,163.04,"44.8384","28.8247","18.6835","6,092.17","260.73","52.16","13.32","13.32","5.55","1,809.40","154.9","31","22,194.80","37,364.98","0","594","0","0","0","0","0","0","0","0","0","594",29051,137.15331,4.57178,36.57422
"4066",4066,"MO","Niangua",29,29,37.9385,-92.8477,0,2,0,0.0412,"3","0","1,082.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","1,082.00","0","0","0","0","0","0","0",29029,12.192,0.6401,9.9665
"4134",4134,"MS","Jack Watson",28,47,30.4392,-89.0286,0,6,1,0.1841,"1,215.50","20,241,334.20","1,960,589.10","3,646.60","23,117.48","1,935,607.20","47,081.30","68,379.60",-99,"3.7199","3.7008","23.5822","1,974.52","24.01","34.88","1,985.83",-99,0.3603,0.3497,2.2842,191.25,"3.7199","3.7008","23.5822","1,974.52","24.01","34.88","3,646.60","2,211.19","23,117.48","1,935,874.20","47,081.30","68,379.60","20,241,334.20","10,324.11","1,636,130.00","0","324,208.80","0","0","250.2","0","0","0","0","0","1,960,338.80",28047,7.681,0.6096,2.012
"4136",4136,"MS","Kemper County IGCC Project",28,69,32.6547,-88.7622,0,3,1,0,"839.8","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",28069,9.7536,0.823,7.925
"4150",4150,"MS","R D Morrow",28,73,31.2186,-89.394,0,2,1,0.3056,"400","12,588,607.50","1,070,665.00","2,737.75","3,947.56","1,291,587.60","29,281.10","43,921.70",-99,"5.1141","4.9662","7.374","2,412.68","27.35","41.02","2,425.97",-99,0.435,0.4296,0.6272,205.2,"5.1141","4.9662","7.374","2,412.68","27.35","41.02","2,737.75","1,473.82","3,947.56","1,291,587.60","29,281.10","43,921.70","12,588,607.50","11,757.75","1,067,089.70","3,575.30","0","0","0","0","0","0","0","0","0","1,070,665.00",28073,9.144,0.6096,6.675
"4239",4239,"NC","Butler-Warner Generation Plant",37,51,35.0986,-78.8294,0,9,1,0.0115,"303.4","419,529.20","30,694.00","33.25","0.26","24,518.90","975.8","97.8",-99,"2.1664","1.9324","0.0166","1,597.64","31.79","3.18","1,599.29",-99,0.1585,0.1585,0.0012,116.89,"2.1664","1.9324","0.0166","1,597.64","31.79","3.18","33.25","31.78","0.26","24,518.90","975.8","97.8","419,529.20","13,668.12","0","-273.8","30,967.80","0","0","0","0","0","0","0","0","30,694.00",37051,10.272,1.0058,12.145
"4274",4274,"NC","Enka",37,21,35.5333,-82.65,0,5,1,0,"16.3","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",37021,7.681,0.6096,2.012
"4300",4300,"NC","High Point, Fairfield",37,81,35.9269,-79.9858,0,1,1,-0.0023,"1.8","36","-37","0.04","0","2.9","0.3","0.1",-99,"-2.3721","-1.0924","-0.1547","-158.64","-6.79","-1.36","-159.2",-99,2.438,2.438,0.159,163.04,"-2.3721","-1.0924","-0.1547","-158.64","-6.79","-1.36","0.04","0.01","0","2.9","0.3","0.1","36","-972.973","0","-37","0","0","0","0","0","0","0","0","0","-37",37081,6.096,0.3658,16.52
"4316",4316,"NC","Lake Lure",37,161,35.4259,-82.184,0,2,0,0.1007,"3.6","0","3,176.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","3,176.00","0","0","0","0","0","0","0",37161,12.192,0.9754,5.182
"4330",4330,"NC","Maiden Community Center",37,35,35.5772,-81.2081,0,1,1,0.0012,"1.8","502","19","0.61","0.04","40.9","3.5","0.7",-99,"64.4145","63.8127","4.0681","4,307.82","184.37","36.88","4,323.12",-99,2.438,2.438,0.154,163.04,"64.4145","63.8127","4.0681","4,307.82","184.37","36.88","0.61","0.22","0.04","40.9","3.5","0.7","502","26,421.05","0","19","0","0","0","0","0","0","0","0","0","19",37035,11.887,0.9101,8.443
"4338",4338,"NC","McCallum Farm",37,155,34.5439,-79.3,0,1,0,0,"5","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",37155,13.6095,0.7544,8.6534
"4387",4387,"NC","Roanoke Rapids",37,83,36.4789,-77.6722,0,4,0,0.1845,"100","0","161,651.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","161,651.00","0","0","0","0","0","0","0",37083,15.85,0.701,8.23
"4396",4396,"NC","Roxboro Farm",37,145,36.4797,-78.9175,0,1,0,0,"5","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",37145,13.6095,0.7544,8.6534
"4428",4428,"NC","Walters",37,87,35.6946,-83.0503,0,3,0,0.3637,"108","0","344,077.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","344,077.00","0","0","0","0","0","0","0",37087,11.887,0.9101,8.443
"4438",4438,"NC","White Cross Farm",37,135,35.9036,-79.1883,0,1,0,0,"5","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",37135,9.7536,0.762,7.59
"4456",4456,"ND","Coyote",38,57,47.2214,-101.8157,0,1,1,0.5822,"450","27,008,173.00","2,294,854.00","9,943.58","10,639.44","2,940,380.80","62,821.00","94,231.50",-99,"8.666","8.6147","9.2724","2,562.59","27.37","41.06","2,575.89",-99,0.7363,0.7305,0.7879,217.74,"8.666","8.6147","9.2724","2,562.59","27.37","41.06","9,943.58","4,846.75","10,639.44","2,940,380.80","62,821.00","94,231.50","27,008,173.00","11,769.02","2,291,782.70","3,071.30","0","0","0","0","0","0","0","0","0","2,294,854.00",38057,3.048,0.1524,1.951
"4476",4476,"ND","Lonesome Creek Station",38,53,47.7967,-103.5786,0,3,1,0,"181.5","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",38053,3.048,0.1524,1.951
"4485",4485,"ND","Rugby Wind Power Project",38,9,48.5087,-99.9545,0,1,0,0.3105,"149","0","405,292.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","405,292.00","0","0","0","0","0",38009,14.326,0.7102,10.33
"4488",4488,"ND","Tatanka Wind Power LLC",38,51,46.03,-99.37,0,1,0,0.4205,"180","0","662,973.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","662,973.00","0","0","0","0","0",38051,3.048,0.1524,1.951
"4623",4623,"NH","Milton Hydro",33,17,43.4031,-70.9865,0,4,0,0,"1.4","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",33017,9.7536,0.762,9.525
"4628",4628,"NH","Pembroke Hydro",33,13,43.1304,-71.4536,0,1,0,0.3192,"2.7","0","7,549.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","7,549.00","0","0","0","0","0","0","0",33013,9.9849,0.5128,8.5844
"4630",4630,"NH","Penacook Upper Falls Hydro",33,13,43.2832,-71.6008,0,1,0,0.4242,"3.4","0","12,634.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","12,634.00","0","0","0","0","0","0","0",33013,9.7536,0.762,9.525
"4669",4669,"NJ","BlackRock-Matrix",34,23,40.3622,-74.4797,0,1,0,0.1451,"2.5","0","3,177.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","0","3,177.00","0","0","0","0",34023,10.668,0.5791,5.334
